Week,TeamName,PlayerName,LineupPosition,Points
4,tmjones212,DESHAUN WATSON,SUPER_FLEX,26.00
4,BaoDown,LAMAR JACKSON,QB,40.40
4,BaoDown,ALVIN KAMARA,RB,39.80
4,BaoDown,SAQUON BARKLEY,RB,28.20
4,BaoDown,JAMARR CHASE,WR,27.00
4,BaoDown,STEFON DIGGS,WR,26.00
4,BaoDown,ISAIAH LIKELY,TE,6.20
4,BaoDown,ZACK MOSS,FLEX,25.60
4,BaoDown,MIKE WILLIAMS,FLEX,17.40
4,BaoDown,JAKOBI MEYERS,FLEX,14.80
4,BaoDown,DEANDRE HOPKINS,FLEX,9.20
4,BaoDown,AARON RODGERS,SUPER_FLEX,27.70
4,EBao,DAK PRESCOTT,QB,33.90
4,EBao,KEN WALKER,RB,49.20
4,EBao,KYREN WILLIAMS,RB,33.80
4,EBao,NICO COLLINS,WR,51.20
4,EBao,JAYDEN REED,WR,44.20
4,EBao,KYLE PITTS,TE,0.00
4,EBao,MIKE PITTMAN,FLEX,31.60
4,EBao,TRE TUCKER,FLEX,19.80
4,EBao,RACHAAD WHITE,FLEX,18.80
4,EBao,JAXON SMITH NJIGBA,FLEX,18.20
4,EBao,JOE BURROW,SUPER_FLEX,33.20
4,Halteclere,JARED GOFF,QB,49.20
4,Halteclere,JAHMYR GIBBS,RB,27.60
4,Halteclere,NAJEE HARRIS,RB,17.60
4,Halteclere,MALIK NABERS,WR,37.20
4,Halteclere,GARRETT WILSON,WR,9.20
4,Halteclere,DALTON KINCAID,TE,14.40
4,Halteclere,TYJAE SPEARS,FLEX,15.80
4,Halteclere,JK DOBBINS,FLEX,15.40
4,Halteclere,TREY BENSON,FLEX,10.00
4,Halteclere,MIKE WILSON,FLEX,6.60
4,Halteclere,JUSTIN HERBERT,SUPER_FLEX,23.90
4,androooooo,SAM DARNOLD,QB,40.50
4,androooooo,DANDRE SWIFT,RB,49.00
4,androooooo,RICO DOWDLE,RB,19.20
4,androooooo,JOSH DOWNS,WR,30.40
4,androooooo,CHRIS OLAVE,WR,25.40
4,androooooo,ELIJAH HIGGINS,TE,4.40
4,androooooo,RASHID SHAHEED,FLEX,23.40
4,androooooo,TERRY MCLAURIN,FLEX,23.40
4,androooooo,COURTLAND SUTTON,FLEX,21.00
4,androooooo,CHRIS GODWIN,FLEX,19.80
4,androooooo,BROCK PURDY,SUPER_FLEX,33.00
4,ShadyCommish88,JAYDEN DANIELS,QB,42.70
4,ShadyCommish88,JORDAN MASON,RB,43.00
4,ShadyCommish88,CHUBA HUBBARD,RB,37.20
4,ShadyCommish88,CEEDEE LAMB,WR,37.20
4,ShadyCommish88,DONTAYVION WICKS,WR,32.60
4,ShadyCommish88,TUCKER KRAFT,TE,20.60
4,ShadyCommish88,BRIAN ROBINSON,FLEX,34.60
4,ShadyCommish88,GEORGE PICKENS,FLEX,28.60
4,ShadyCommish88,JEROME FORD,FLEX,24.00
4,ShadyCommish88,MARVIN HARRISON,FLEX,20.00
4,ShadyCommish88,TYLER LOCKETT,SUPER_FLEX,17.20
4,emanueljd3,BAKER MAYFIELD,QB,57.70
4,emanueljd3,DERRICK HENRY,RB,62.80
4,emanueljd3,JAMES CONNER,RB,32.60
4,emanueljd3,MIKE EVANS,WR,32.80
4,emanueljd3,JUSTIN JEFFERSON,WR,29.00
4,emanueljd3,JAKE FERGUSON,TE,16.80
4,emanueljd3,JAMESON WILLIAMS,FLEX,24.00
4,emanueljd3,DAVID MONTGOMERY,FLEX,23.00
4,emanueljd3,TUTU ATWELL,FLEX,21.40
4,emanueljd3,SAM LAPORTA,FLEX,14.60
4,emanueljd3,JORDAN LOVE,SUPER_FLEX,57.10
4,lamjohnson56,GENO SMITH,QB,52.10
4,lamjohnson56,AARON JONES,RB,35.80
4,lamjohnson56,TONY POLLARD,RB,32.60
4,lamjohnson56,DIONTAE JOHNSON,WR,29.60
4,lamjohnson56,JAUAN JENNINGS,WR,20.60
4,lamjohnson56,GEORGE KITTLE,TE,19.00
4,lamjohnson56,CHASE BROWN,FLEX,32.40
4,lamjohnson56,TYLER ALLGEIER,FLEX,19.00
4,lamjohnson56,ALEXANDER MATTISON,FLEX,12.00
4,lamjohnson56,ROMEO DOUBS,FLEX,11.80
4,lamjohnson56,ANDY DALTON,SUPER_FLEX,31.80
4,mlum20,CJ STROUD,QB,52.90
4,mlum20,JALEEL MCLAUGHLIN,RB,10.20
4,mlum20,TYRONE TRACY,RB,5.20
4,mlum20,LADD MCCONKEY,WR,24.40
4,mlum20,JORDAN WHITTINGTON,WR,18.40
4,mlum20,CHIG OKONKWO,TE,2.00
4,mlum20,JONATHAN MINGO,FLEX,7.80
4,mlum20,BO MELTON,FLEX,7.60
4,mlum20,SEAN TUCKER,FLEX,4.40
4,mlum20,CALVIN AUSTIN,FLEX,4.40
4,mlum20,DANIEL JONES,SUPER_FLEX,24.70
4,connerstafford11,JALEN HURTS,QB,27.80
4,connerstafford11,JONATHAN TAYLOR,RB,33.60
4,connerstafford11,JUSTICE HILL,RB,31.20
4,connerstafford11,DK METCALF,WR,26.80
4,connerstafford11,CHRISTIAN KIRK,WR,25.20
4,connerstafford11,TRAVIS KELCE,TE,24.80
4,connerstafford11,JOSH JACOBS,FLEX,19.60
4,connerstafford11,DALLAS GOEDERT,FLEX,19.40
4,connerstafford11,TANK BIGSBY,FLEX,18.00
4,connerstafford11,DEEBO SAMUEL,FLEX,17.40
4,connerstafford11,JOSH ALLEN,SUPER_FLEX,18.20
5,tmjones212,JUSTIN FIELDS,QB,30.50
5,tmjones212,BIJAN ROBINSON,RB,18.40
5,tmjones212,BUCKY IRVING,RB,9.20
5,tmjones212,DRAKE LONDON,WR,51.80
5,tmjones212,DARNELL MOONEY,WR,45.00
5,tmjones212,COLE KMET,TE,14.40
5,tmjones212,BRIAN THOMAS,FLEX,39.40
5,tmjones212,TEE HIGGINS,FLEX,37.60
5,tmjones212,WANDALE ROBINSON,FLEX,20.00
5,tmjones212,XAVIER WORTHY,FLEX,14.60
5,tmjones212,DESHAUN WATSON,SUPER_FLEX,17.30
5,BaoDown,LAMAR JACKSON,QB,68.80
5,BaoDown,ALVIN KAMARA,RB,19.20
5,BaoDown,ZACK MOSS,RB,13.40
5,BaoDown,JAMARR CHASE,WR,64.60
5,BaoDown,STEFON DIGGS,WR,23.40
5,BaoDown,ISAIAH LIKELY,TE,17.60
5,BaoDown,JAKOBI MEYERS,FLEX,20.40
5,BaoDown,MARK ANDREWS,FLEX,15.00
5,BaoDown,THEO JOHNSON,FLEX,14.60
5,BaoDown,CADE OTTON,FLEX,11.80
5,BaoDown,KYLER MURRAY,SUPER_FLEX,44.10
5,EBao,JOE BURROW,QB,68.40
5,EBao,JAVONTE WILLIAMS,RB,30.20
5,EBao,KYREN WILLIAMS,RB,27.00
5,EBao,NICO COLLINS,WR,23.60
5,EBao,JAYDEN REED,WR,23.40
5,EBao,KYLE PITTS,TE,24.60
5,EBao,KEN WALKER,FLEX,23.20
5,EBao,TRAVIS ETIENNE,FLEX,19.00
5,EBao,MIKE PITTMAN,FLEX,18.40
5,EBao,TREY MCBRIDE,FLEX,16.60
5,EBao,TREVOR LAWRENCE,SUPER_FLEX,48.90
5,Halteclere,JAMEIS WINSTON,QB,1.00
5,Halteclere,NAJEE HARRIS,RB,17.40
5,Halteclere,ERIC GRAY,RB,9.80
5,Halteclere,GARRETT WILSON,WR,42.20
5,Halteclere,MIKE WILSON,WR,20.60
5,Halteclere,BRENTON STRANGE,TE,14.80
5,Halteclere,ROME ODUNZE,FLEX,13.00
5,Halteclere,TANK DELL,FLEX,10.60
5,Halteclere,DALTON KINCAID,FLEX,8.80
5,Halteclere,ELIJAH MOORE,FLEX,5.20
5,Halteclere,ISAAC GUERENDO,SUPER_FLEX,4.40
5,androooooo,CALEB WILLIAMS,QB,52.20
5,androooooo,DANDRE SWIFT,RB,35.00
5,androooooo,RICO DOWDLE,RB,33.80
5,androooooo,BRANDON AIYUK,WR,40.40
5,androooooo,JALEN TOLBERT,WR,30.40
5,androooooo,COLBY PARKINSON,TE,17.40
5,androooooo,KAREEM HUNT,FLEX,33.40
5,androooooo,RASHID SHAHEED,FLEX,28.20
5,androooooo,TERRY MCLAURIN,FLEX,26.80
5,androooooo,JOSH DOWNS,FLEX,22.80
5,androooooo,BROCK PURDY,SUPER_FLEX,29.00
5,ShadyCommish88,JOE FLACCO,QB,58.30
5,ShadyCommish88,CHUBA HUBBARD,RB,25.00
5,ShadyCommish88,AUSTIN EKELER,RB,21.40
5,ShadyCommish88,ZAY FLOWERS,WR,34.00
5,ShadyCommish88,TYLER LOCKETT,WR,19.00
5,ShadyCommish88,BROCK BOWERS,TE,34.40
5,ShadyCommish88,TUCKER KRAFT,FLEX,33.60
5,ShadyCommish88,CEEDEE LAMB,FLEX,17.80
5,ShadyCommish88,DEMARIO DOUGLAS,FLEX,17.80
5,ShadyCommish88,JORDAN MASON,FLEX,16.60
5,ShadyCommish88,JAYDEN DANIELS,SUPER_FLEX,42.20
5,emanueljd3,KIRK COUSINS,QB,76.90
